,"Date: 2/14/18, 2:30-3:20 pm Class: Lecture C Instructor: Suzanne Brahmia No. Students: 117 Arranged how? Lecture",,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: Auditorium stadium seating, large projector and chalk boards. Demo tables at front of room. Starts lecture with group ""activity"" about vectors. Next is quiz question- appears to be learning catalytics or something similar- students have phones and computers out. They can work together but must give their own answer.  Lecture is on powerpoint slides- topic is vectors with examples in forces/projectile motion. ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Students Doing,,,,,,,,,,,,,Instructor Doing,,,,,,,,,,,,
Time,L,IND,CG,WG,OG,AnQ,SQ,WC,Prd,SP,T/Q,W,O,Lec,RtW,Fup,PQ,CQ,AnQ,MG,1o1,D/V,Adm,W,O,Notes
2,X,,X,,,,,,,,X,,,X,,X,,X,,,,,,,,
4,X,,X,,,,,,,,,,,X,,,,X,,,,,,X,,"Instructor does not wander during CQ, waits at front"
6,X,,X,,,,,,,,X,,,X,,X,,X,,,,,,X,,
8,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,"Half the CQ are exercises and half are labeled ""quiz"""
10,X,,,,,X,,,,,,,,X,,X,X,X,,,,,,,,Discussing clicker question
12,X,,,,,X,,,,,,,,X,,X,X,X,,,,,,,,Discussing clicker question
14,X,,,,,,X,,,,,,,X,,X,,X,X,,,,,,,Discussing clicker question
16,X,,,,,,,,,,,X,,X,,,,,,,,X,,,,Students waiting while demo is set up
18,X,,,,,,,,,,,X,,X,,,,,,,,X,,,,Students waiting while demo is set up
20,X,,,,,,,,,,,X,,X,,X,,,,,,X,,,,Students waiting while demo is set up